first_name,last_names,jobs,credit_scores,address,year1,year2,year3,dob,ssn,current_debt,age
Travis,Drake,Professor Emeritus,720,"0842 Cody Inlet West Jennifer, DE 54141",180754,352831,169028,1978-10-09,368-72-7424,23983,44
Michelle,Cox,Fashion designer,625,"36791 Jason Ports Apt. 435 New Rachelfort, MA 90054",201838,358061,194521,1980-12-30,544-71-6614,29525,42
Antonio,Hudson,Leisure centre manager,689,"164 Daniel Junction Thomasshire, HI 05318",128504,353963,432332,1986-07-03,516-61-6443,60766,36
Matthew,Robinson,IT technical support officer,771,"3997 Dominguez Ridges Rangelport, AR 88594",185405,310518,422299,1980-04-19,238-28-5653,55850,42
Justin,Brown,Agricultural consultant,636,"846 Cox Inlet Catherinemouth, AK 01459",121641,170056,206376,1978-12-02,385-35-4519,34524,44
Scott,Zavala,Animal technologist,627,"2737 Brandon Pike Apt. 738 Lake Brian, OK 57257",137236,342384,377537,1980-04-21,146-39-5854,50255,42
Nicole,Clark,Consulting civil engineer,592,"5307 Matthew Wall Apt. 512 Stephaniestad, ID 62621",199701,326567,275119,1977-12-05,650-56-5879,38151,45
Sean,Frazier,Merchant navy officer,762,"84162 Hunt Mission Apt. 761 Andersonburgh, AK 75334",122181,210284,345170,1977-03-02,559-47-6413,21549,45
Carla,Mcmillan,Records manager,699,"623 Lisa Green Suite 777 Murphybury, NM 61884",128003,197803,411878,1987-09-17,262-49-4191,55073,35
Eric,King,"Biochemist, clinical",701,"3248 Gutierrez Vista Apt. 649 Evansville, LA 09750",165772,320553,157289,1985-12-16,491-26-6382,24407,37
Michelle,Joseph,Tree surgeon,636,"17938 Rachael Union Suite 934 South Samuelside, CT 79140",148457,318733,434619,1977-10-06,569-26-5720,39827,45
Tami,Sherman,Chief Executive Officer,685,"055 Freeman Viaduct Rachelshire, AZ 82705",150789,329747,350267,1974-04-15,346-80-4213,10583,48
Leah,Fleming,Company secretary,598,"8841 Bartlett Inlet Suite 225 West Edwardview, FL 50216",105609,299301,400890,1988-03-09,601-57-2756,18103,34
Shawn,Dougherty,Fine artist,652,"18654 Holmes Run Lake Allisontown, NC 69948",195895,266331,238447,1982-11-15,646-61-5430,5241,40
Katelyn,Smith,Quantity surveyor,644,"68458 Ruiz Plains Lake Kimberly, WY 37006",201142,274903,273853,1975-02-16,341-73-4472,55136,47
Alan,Collins,Media buyer,751,"36202 Mary Junction Mikefort, MI 35524",206792,134454,446705,1979-01-01,583-58-6197,31479,43
Pamela,Lewis,Hospital doctor,635,"17988 Michael Divide Friedmanmouth, MN 85545",181985,154613,200019,1976-08-15,369-45-6445,60466,46
Amy,Bush,"Civil engineer, contracting",687,"41459 Powell Crescent Suite 079 Robertburgh, ID 28818",210061,190266,291015,1974-10-29,199-56-3212,21474,48
Oscar,Frazier,Travel agency manager,668,"37772 Brandon Ports Sergiofort, ND 63867",174365,228924,443293,1980-03-22,448-49-5531,54035,42
Ryan,Adams,Media planner,781,"111 Davis Valleys Apt. 611 West Jennifer, MO 11717",134393,234940,261392,1987-12-04,300-69-7224,39860,35
Erik,Martin,"Physicist, medical",728,"PSC 1132, Box 1461 APO AA 44681",164800,195309,379778,1977-04-11,380-72-6530,13347,45
Christopher,Roberts,Acupuncturist,781,"84187 Barrett Highway Suite 262 Henryburgh, NH 70854",212894,301906,171007,1978-05-28,596-41-6428,29816,44
Larry,Palmer,Glass blower/designer,781,"640 Moore Ville New Seanberg, GA 11049",196712,128416,187251,1977-03-20,207-79-7453,29920,45
Amanda,Stewart,Sports therapist,778,"909 Gregory Circle Suite 169 Henrytown, CT 67001",154621,321201,400766,1975-11-12,437-84-6672,23504,47
Richard,Robinson,Risk manager,739,"PSC 5483, Box 4318 APO AE 79962",171490,140358,365387,1980-01-28,262-51-6753,36365,42
Jacob,Hall,Microbiologist,755,"PSC 7710, Box 2739 APO AP 01065",208429,286690,257114,1975-02-08,334-51-3103,32398,47
Kathleen,Skinner,Oncologist,759,"6591 Kathleen Extensions Riosfort, VA 57556",135299,212945,243992,1976-05-14,149-31-2602,31330,46
John,Herrera,"Surveyor, quantity",673,"9638 Booker Glens Apt. 604 Lake April, AZ 09675",164127,208788,168854,1977-08-01,281-80-3049,26727,45
Felicia,Carr,Systems developer,605,"021 Christian Wall East Jacksonhaven, NE 22761",99927,152193,238761,1975-01-04,534-65-3970,40125,47
Melissa,Ford,Animal nutritionist,597,"009 Harrison Via Suite 035 East Robinside, OK 42872",161892,176814,441113,1979-02-24,592-73-2581,41849,43
