first_name,last_names,jobs,credit_scores,address,year1,year2,year3,dob,ssn,current_debt,age
Kim,Bruce,Textile designer,758,"455 Tina Mountain Suite 651
Port Patricia, MS 33429",157529,238439,265389,1988-05-06,246-76-6184,37284,34
Elizabeth,Palmer,Personal assistant,628,"5357 Kim Ports
Munozshire, AL 64015",189858,125205,155035,1990-06-24,580-56-7467,15993,32
William,Morrison,Human resources officer,654,"36654 Gutierrez Locks Suite 107
Wrighthaven, ME 08775",144727,228111,191532,1976-12-21,649-42-4801,47341,46
Charles,Daniel,"Development worker, community",590,"451 Holly Tunnel
South Bill, KS 27892",140893,147183,219216,1976-03-07,604-30-5501,43481,46
Larry,Jones,"Designer, exhibition/display",594,"42414 Janet Lights
Wilsonhaven, NJ 28200",129632,258099,188854,1990-07-21,595-36-4379,46826,32
Miranda,Newton,Optometrist,777,"6618 Joanna View Suite 329
Wadeshire, RI 35848",147445,141163,203744,1979-08-17,535-42-5282,31817,43
Samantha,Jefferson,Heritage manager,592,"4815 West Curve
Greenebury, CO 59698",132654,301304,312709,1983-01-09,441-65-3549,39054,39
Heather,Brown,"Solicitor, Scotland",784,"74557 Thomas Loaf Suite 813
New Clayton, OR 24960",112554,260560,325487,1975-01-14,383-42-2311,33283,47
Sarah,Miller,Media planner,631,"069 Jeanette Mews
East Cindy, ME 47982",123513,127772,271880,1983-10-15,394-78-3302,20218,39
Ryan,Gonzalez,"Physicist, medical",758,"Unit 1404 Box 9631
DPO AP 11092",105847,169864,191927,1986-12-15,573-79-5224,5361,36
Daniel,Lewis,"Psychologist, prison and probation services",690,"32307 Julie Curve Suite 284
Smithton, AL 56482",151889,152130,374320,1974-04-24,245-52-2603,28401,48
Krista,Thomas,Visual merchandiser,688,"21715 Davis Green Apt. 212
Wagnerville, MA 21335",101820,284528,166934,1981-10-28,151-69-7687,32697,41
Kristine,Gibson,Armed forces logistics/support/administrative officer,754,"5643 Bentley Tunnel Apt. 434
East Josephmouth, CO 39517",191586,223131,324679,1985-05-19,193-41-4264,43486,37
Lisa,Smith,"Programme researcher, broadcasting/film/video",691,"7251 Lewis Cliffs Apt. 399
Port Tara, ID 78941",121265,326806,220688,1989-02-01,451-70-7446,24944,33
Jeffrey,Hernandez,"Producer, radio",605,"6852 Harris Trace Suite 010
Erikview, VA 45007",203661,298290,312277,1976-06-10,371-60-7497,25692,46
Joseph,Turner,Dispensing optician,610,"291 Paul Point
Morganhaven, AR 13464",166231,326099,309301,1983-11-03,402-82-4734,8048,39
Natasha,Perez,Fine artist,741,"656 Thomas Canyon Apt. 501
Kevintown, RI 42860",203214,147814,177992,1977-08-29,524-53-5754,25328,45
Andre,Marshall,"Scientist, physiological",625,"USS Weiss
FPO AP 71567",175412,297967,144826,1974-11-08,416-42-6166,37360,48
Stephanie,Mcdaniel,"Therapist, drama",752,"479 Davis View
Lake Mariotown, VA 32957",125573,197967,396706,1980-12-23,452-23-2736,15740,42
Laura,Walker,"Therapist, art",592,"56739 Hernandez Corners
Russellview, IN 95299",127747,302415,318587,1982-04-05,199-60-3515,7901,40
Jesse,Mays,"Administrator, charities/voluntary organisations",706,"051 Gary Field Suite 627
North Darrenville, NM 08115",151685,289936,287839,1974-10-17,442-56-4445,24847,48
Katrina,Smith,"Engineer, water",759,"126 Sims Dale Apt. 366
Petersonfort, OK 84852",203983,221008,221348,1977-10-20,287-84-4256,28048,45
Shawn,Moyer,"Nurse, adult",758,"22646 Salinas Prairie Suite 092
Markport, NC 99447",172178,213316,144479,1974-07-30,469-59-5795,17786,48
David,Phillips,Musician,643,"99448 Michael Dam
Davidport, MT 42241",140726,312373,326808,1974-03-23,420-62-7743,55826,48
Kayla,Stewart,"Therapist, art",598,"71364 Freeman Meadow Suite 329
Ericberg, GA 13958",181507,334022,324919,1979-10-19,422-59-3531,51159,43
Jennifer,Clark,Education administrator,729,"605 Green Plains Suite 390
Port Jennifer, VA 53531",193411,133157,444916,1976-05-28,613-33-3604,57070,46
Marcus,Gonzales,"Engineer, broadcasting (operations)",696,"690 Bob Creek Apt. 038
Jennifermouth, IA 38889",170870,198509,200021,1978-10-23,650-42-3988,44322,44
Cynthia,Brandt,Physiological scientist,723,"69901 Susan Shoal Apt. 068
Rojaschester, NM 14109",161378,256074,357967,1979-01-13,194-34-7090,49795,43
Marcus,Stevens,Petroleum engineer,783,"77133 Miranda Island Suite 303
Deniseview, TX 40635",187271,150429,431959,1977-08-05,485-73-6559,19866,45
Nathan,Francis,Armed forces training and education officer,744,"998 Weaver Springs
Lake Douglasside, TX 81765",186644,214032,445218,1977-03-24,347-59-4542,35102,45
